姓名,部門,電話,到職日期,月薪
林嘉慧,人資部,0979384719,2020-06-03,41618
王冠育,客服部,0983947382,2022-09-14,36284
陳怡育,業務部,0948283746,2023-07-31,57381
張美慧,採購部,0989849383,2022-01-05,29984
楊明安,行銷部,0912039483,2024-01-28,37295
蔡冠慧,工程部,0949647392,2023-04-01,65817
鄭怡育,研發部,0967293840,2020-04-06,58941
黃益君,工程部,0928739842,2022-11-15,88586
劉嘉仁,行政部,0992039486,2023-10-19,34766
許宜美,客服部,0973948204,2022-03-23,100739
吳冠蓉,人資部,0972948412,2019-03-24,105938
李冠育,業務部,0919849382,2021-12-09,42959
林明君,採購部,0983984732,2019-05-08,30172
張怡蓉,行銷部,0929837481,2024-04-10,41772
朱冠美,工程部,0998837472,2020-07-24,88429
楊志育,研發部,0962948740,2023-07-04,34728
蔡冠慧,工程部,0973928473,2024-06-16,56849
鄭怡美,行政部,0912318473,2022-04-07,69562
王明蓉,客服部,0929183947,2024-05-09,47838
劉冠君,業務部,0978918472,2022-11-03,82498
許嘉美,採購部,0938729384,2022-07-29,82886
吳明蓉,行銷部,0992039488,2021-09-10,42565
林志慧,工程部,0979348206,2023-04-18,33682
陳冠仁,研發部,0973849716,2024-08-07,36451
張宜育,行政部,0961983742,2023-02-10,91671
楊明蓉,客戶部,0973849715,2022-05-18,37914
朱怡君,工程部,0979348203,2024-04-18,35367



